,Hour,avg_conc,metabolite,std_conc,strain,var_conc,%RSD
0,0.0,0.7106666666666667,OD600,0.002494438257849346,WT,6.22222222222248e-06,0.003509997548568498
1,0.0,0.0,ipoh_e,0.0,WT,0.0,0.0
2,0.0,10.00243333,glc__D_e,0.0,WT,0.0,0.0
3,0.0,0.5803156666666668,ac_e,0.011968148014161966,WT,0.00014323656688888903,0.02062351354893968
4,0.0,0.06737563333333334,for_e,0.0051889547626558525,WT,2.6925251528888853e-05,0.07701530220850147
5,0.0,916.9196150666667,pyr_e,48.03407534124302,WT,2307.2723938882104,0.052386353778406836
6,0.0,463.57229936666664,lac__D_e,38.01894069780172,WT,1445.4398517829638,0.08201296917383387
7,0.0,76.19854740000001,succ_e,4.388186896472422,WT,19.256184238372263,0.0575888523627213
8,0.0,39.23210582666667,mal__L_e,1.4872382772004853,WT,2.2118776931702677,0.03790870374818337
9,0.0,0.0,akg_e,0.0,WT,0.0,0.0
10,0.0,0.0,acon__C_e,0.0,WT,0.0,0.0
11,0.0,4.590958297999999,cit_e,4.260806129068699,WT,18.154468869509394,0.9280864369700054
12,0.0,0.0,icit_e,0.0,WT,0.0,0.0
13,0.0,0.0,mev_R_e,0.0,WT,0.0,0.0
14,0.0,0.0,ip_e,0.0,WT,0.0,0.0
15,0.0,0.0,dxyl5p_e,0.0,WT,0.0,0.0
16,0.0,0.0,2me4p_e,0.0,WT,0.0,0.0
17,0.0,0.0,5pmev_e,0.0,WT,0.0,0.0
18,0.0,0.0,ex_con.id,0.0,WT,0.0,0.0
19,0.0,0.0,h2mb4p_e,0.0,WT,0.0,0.0
20,0.0,0.0,2mecdp_e,0.0,WT,0.0,0.0
21,0.0,0.0,5dpmev_e,0.0,WT,0.0,0.0
22,0.0,0.0,grdp_e,0.0,WT,0.0,0.0
23,0.0,0.0,frdp_e,0.0,WT,0.0,0.0
24,0.0,0.0,ggdp_e,0.0,WT,0.0,0.0
25,0.0,0.0,4c2me_e,0.0,WT,0.0,0.0
26,0.0,564.4492523333334,gly_e,13.646631230873105,WT,186.2305439514412,0.024176896637669983
27,0.0,173.03790803333334,ala__L_e,1.279249740184884,WT,1.636479897763093,0.007392887227568969
28,0.0,1464.6189616666668,ser__L_e,83.99283218270666,WT,7054.795858072324,0.05734790712194987
29,0.0,328.0988114,pro__L_e,7.365220257741083,WT,54.24646944503962,0.02244817720098904
30,0.0,148.20379033333333,val__L_e,0.21419132390993254,WT,0.04587792323828964,0.0014452486230492688
31,0.0,175.9958845,thr__L_e,2.2871376308498044,WT,5.230998542449256,0.012995404053609019
32,0.0,2.5985963056666663,cys__L_e,0.30167306684632517,WT,0.09100663926046737,0.1160907780052167
33,0.0,428.02066156666666,leu__L_e,15.734863335438675,WT,247.5859241849323,0.03676192471140293
34,0.0,361.23208,ile__L_e,14.047779083984397,WT,197.34009719242948,0.03888851478524387
35,0.0,652.2569543999999,asn__L_e,13.763722452042995,WT,189.44005573687244,0.021101687546902444
36,0.0,67.41320739666666,asp__L_e,1.6823052332905553,WT,2.8301508979567895,0.02495512820494785
37,0.0,155.5290236,gln__L_e,12.402972959993734,WT,153.83373824633574,0.07974699945325019
38,0.0,323.1318263666667,glu__L_e,14.275282125723766,WT,203.78367976900844,0.044177889520313623
39,0.0,134.5971494,met__L_e,1.138242466026349,WT,1.2955959114657443,0.008456661014741736
40,0.0,76.84773263000001,his__L_e,1.2219807121604507,WT,1.4932368608921622,0.01590132422050681
41,0.0,385.23004653333334,phe__L_e,2.8363252126348506,WT,8.04474071182813,0.0073626791008614325
42,0.0,83.77844742333333,tyr__L_e,4.667804463291217,WT,21.788398507521407,0.055716053553782806
43,0.0,36.44039329333333,trp__L_e,0.151623987884993,WT,0.022989833702148507,0.0041608768232677725
44,0.0,0.49133333333333334,OD600,0.014383632673594264,I1,0.00020688888888888848,0.029274693365524282
45,0.0,0.0,ipoh_e,0.0,I1,0.0,0.0
46,0.0,10.01326667,glc__D_e,0.0,I1,0.0,0.0
47,0.0,0.366408,ac_e,0.006006823675343448,I1,3.608193066666657e-05,0.016393811476123468
48,0.0,0.02612426666666667,for_e,0.005135933800412761,I1,2.6377816002222266e-05,0.1965962859721521
49,0.0,589.5325133,pyr_e,26.96414527543591,I1,727.0651304348128,0.04573818180866719
50,0.0,293.53451773333336,lac__D_e,9.636000719199155,I1,92.85250986040663,0.032827487525515314
51,0.0,40.73811156333334,succ_e,0.682538740131882,I1,0.4658591317808167,0.01675430484966825
52,0.0,32.082052753333336,mal__L_e,0.3578732680307862,I1,0.12807327597103493,0.011154936711261502
53,0.0,0.0,akg_e,0.0,I1,0.0,0.0
54,0.0,0.0,acon__C_e,0.0,I1,0.0,0.0
55,0.0,2.3628363703333335,cit_e,0.4000591711923191,I1,0.16004734045508529,0.16931310869227958
56,0.0,0.0,icit_e,0.0,I1,0.0,0.0
57,0.0,0.0,mev_R_e,0.0,I1,0.0,0.0
58,0.0,2.879797788,ip_e,0.3802460704573134,I1,0.14458707409822816,0.13203915637472302
59,0.0,0.0,dxyl5p_e,0.0,I1,0.0,0.0
60,0.0,0.0,2me4p_e,0.0,I1,0.0,0.0
61,0.0,0.0,5pmev_e,0.0,I1,0.0,0.0
62,0.0,0.06933483433333333,ex_con.id,0.05019277987650823,I1,0.0025193151517316093,0.7239186529991838
63,0.0,0.0,h2mb4p_e,0.0,I1,0.0,0.0
64,0.0,0.0,2mecdp_e,0.0,I1,0.0,0.0
65,0.0,0.0,5dpmev_e,0.0,I1,0.0,0.0
66,0.0,0.0,grdp_e,0.0,I1,0.0,0.0
67,0.0,0.0,frdp_e,0.0,I1,0.0,0.0
68,0.0,0.0,ggdp_e,0.0,I1,0.0,0.0
69,0.0,0.0,4c2me_e,0.0,I1,0.0,0.0
70,0.0,576.9225154333334,gly_e,4.173376639404154,I1,17.417072574324308,0.007233859881979958
71,0.0,173.38624646666668,ala__L_e,0.9388745322265181,I1,0.8814853872635631,0.005414930834245931
72,0.0,3716.6120833333334,ser__L_e,72.26318833602068,I1,5221.968388487195,0.01944329586078558
73,0.0,334.3791968666667,pro__L_e,0.3058911536572368,I1,0.09356939788575525,0.0009148031831035545
74,0.0,157.31404443333335,val__L_e,3.1189478561466784,I1,9.727835729361962,0.019826251797044274
75,0.0,193.54058773333335,thr__L_e,0.9017260482185062,I1,0.8131098660357639,0.00465910566243053
76,0.0,2.160782956333333,cys__L_e,0.20394242918449512,I1,0.041592514421672805,0.09438357914973944
77,0.0,466.4453041333333,leu__L_e,7.165615416025246,I1,51.346044290378664,0.015362177199616434
78,0.0,388.6027574666667,ile__L_e,7.959024932885882,I1,63.34607788229911,0.020481133445298793
79,0.0,676.1569239333334,asn__L_e,8.711994909535997,I1,75.89885530378113,0.012884575460466584
80,0.0,191.88804786666665,asp__L_e,7.323503349561195,I1,53.63370131103404,0.03816550030593843
81,0.0,167.41818546666664,gln__L_e,0.8989422373356019,I1,0.8080971460659375,0.005369442004342972
82,0.0,362.8021822333333,glu__L_e,4.195528512299138,I1,17.602459497515017,0.01156423174323912
83,0.0,154.1118766,met__L_e,0.5772984454129247,I1,0.33327349507617965,0.003745969863901617
84,0.0,73.84803467666667,his__L_e,2.8913057520644534,I1,8.359648951920994,0.039152101538295944
85,0.0,400.95796636666665,phe__L_e,1.5912518477303885,I1,2.5320824429053754,0.003968625095916479
86,0.0,83.84246759333332,tyr__L_e,1.1061682642865074,I1,1.2236082289146244,0.01319341255140329
87,0.0,40.087081989999994,trp__L_e,0.5616571014155807,I1,0.3154586995705519,0.014010925054502346
88,0.0,0.5596666666666668,OD600,0.02948822740612862,I2,0.000869555555555555,0.05268891138676941
89,0.0,0.0,ipoh_e,0.0,I2,0.0,0.0
90,0.0,10.03,glc__D_e,0.0,I2,0.0,0.0
91,0.0,0.43091999999999997,ac_e,0.029970759894715142,I2,0.0008982464486666656,0.06955063560455571
92,0.0,0.042124933333333336,for_e,0.0032354667322591272,I2,1.0468244975555555e-05,0.07680645347630526
93,0.0,622.5448054000001,pyr_e,30.765336757227686,I2,946.5059457856249,0.0494186707372174
94,0.0,391.62745523333336,lac__D_e,23.47033176950345,I2,550.8564733705629,0.05993025120141212
95,0.0,59.78774211,succ_e,3.2935828143598593,I2,10.847687755046612,0.05508792769427866
96,0.0,38.93144358666666,mal__L_e,1.036881762040177,I2,1.075123788451542,0.026633529777336355
97,0.0,0.0,akg_e,0.0,I2,0.0,0.0
98,0.0,0.0,acon__C_e,0.0,I2,0.0,0.0
99,0.0,3.2972883103333337,cit_e,1.380766556847721,I2,1.9065162845091106,0.4187582118677802
100,0.0,0.0,icit_e,0.0,I2,0.0,0.0
101,0.0,0.0,mev_R_e,0.0,I2,0.0,0.0
102,0.0,3.2653313023333332,ip_e,0.3188960201478094,I2,0.10169467166611204,0.09766115307195118
103,0.0,0.0,dxyl5p_e,0.0,I2,0.0,0.0
104,0.0,0.0,2me4p_e,0.0,I2,0.0,0.0
105,0.0,0.0,5pmev_e,0.0,I2,0.0,0.0
106,0.0,0.0,ex_con.id,0.0,I2,0.0,0.0
107,0.0,0.0,h2mb4p_e,0.0,I2,0.0,0.0
108,0.0,0.0,2mecdp_e,0.0,I2,0.0,0.0
109,0.0,0.0,5dpmev_e,0.0,I2,0.0,0.0
110,0.0,0.0,grdp_e,0.0,I2,0.0,0.0
111,0.0,0.0,frdp_e,0.0,I2,0.0,0.0
112,0.0,0.0,ggdp_e,0.0,I2,0.0,0.0
113,0.0,0.0,4c2me_e,0.0,I2,0.0,0.0
114,0.0,582.9943703999999,gly_e,19.652280703480933,I2,386.21213684840905,0.033709211788781515
115,0.0,171.06641576666667,ala__L_e,1.3109425060438185,I2,1.718570254152447,0.00766335402637964
116,0.0,2936.101028333333,ser__L_e,135.26468035327926,I2,18296.533751074814,0.04606949115441772
117,0.0,335.24254586666666,pro__L_e,7.092561824771981,I2,50.30443323821286,0.02115650865983117
118,0.0,153.07648603333334,val__L_e,0.7035662671327014,I2,0.49500549224704377,0.0045961746664311045
119,0.0,187.4844704,thr__L_e,2.6149847746472763,I2,6.838145371637067,0.013947740679898341
120,0.0,2.626417942,cys__L_e,0.37429877533833705,I2,0.14009957321977892,0.14251302862076515
